[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Sample Spinner, Owner=User-1, Creation date=5/26/2011 3:50:48 PM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Spinner PW3064"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=Ti_absolute, Owner=User-1, Creation date=8/11/2017 3:56:34 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.5
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,11/Aug/2017 16:25
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,29.996000003,124.999564637
Scan step size,0.0083556
No. of points, 11370
Scan type,CONTINUOUS
Time per step,19.685
[Scan points]
Angle,Intensity
30.000177820,51.0
30.008533455,58.0
30.016889089,47.0
30.025244724,51.0
30.033600358,61.0
30.041955993,69.0
30.050311627,42.0
30.058667262,58.0
30.067022896,62.0
30.075378531,68.0
30.083734165,40.0
30.092089800,51.0
30.100445434,57.0
30.108801069,55.0
30.117156703,52.0
30.125512338,52.0
30.133867973,46.0
30.142223607,52.0
30.150579242,58.0
30.158934876,64.0
30.167290511,47.0
30.175646145,57.0
30.184001780,55.0
30.192357414,57.0
30.200713049,48.0
30.209068683,43.0
30.217424318,69.0
30.225779952,55.0
30.234135587,52.0
30.242491221,46.0
30.250846856,66.0
30.259202491,56.0
30.267558125,62.0
30.275913760,61.0
30.284269394,33.0
30.292625029,49.0
30.300980663,56.0
30.309336298,62.0
30.317691932,47.0
30.326047567,52.0
30.334403201,54.0
30.342758836,62.0
30.351114470,46.0
30.359470105,57.0
30.367825739,45.0
30.376181374,52.0
30.384537008,61.0
30.392892643,58.0
30.401248278,48.0
30.409603912,51.0
30.417959547,52.0
30.426315181,65.0
30.434670816,58.0
30.443026450,59.0
