[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Sample Spinner, Owner=User-1, Creation date=5/26/2011 3:50:48 PM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Spinner PW3064"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=Ti_absolute, Owner=User-1, Creation date=8/11/2017 3:56:34 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.5
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,14/Aug/2017 16:31
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,29.996000003,124.999564637
Scan step size,0.0083556
No. of points, 11370
Scan type,CONTINUOUS
Time per step,19.685
[Scan points]
Angle,Intensity
30.000177820,78.0
30.008533455,75.0
30.016889089,77.0
30.025244724,70.0
30.033600358,66.0
30.041955993,78.0
30.050311627,98.0
30.058667262,81.0
30.067022896,81.0
30.075378531,64.0
30.083734165,94.0
30.092089800,83.0
30.100445434,75.0
30.108801069,106.0
30.117156703,93.0
30.125512338,81.0
30.133867973,91.0
30.142223607,91.0
30.150579242,78.0
30.158934876,87.0
30.167290511,84.0
30.175646145,77.0
30.184001780,94.0
30.192357414,82.0
30.200713049,80.0
30.209068683,81.0
30.217424318,99.0
30.225779952,59.0
30.234135587,84.0
30.242491221,86.0
30.250846856,85.0
30.259202491,94.0
30.267558125,84.0
30.275913760,100.0
30.284269394,83.0
30.292625029,74.0
30.300980663,72.0
30.309336298,77.0
30.317691932,73.0
30.326047567,78.0
30.334403201,77.0
30.342758836,79.0
30.351114470,64.0
30.359470105,65.0
30.367825739,67.0
30.376181374,78.0
30.384537008,78.0
30.392892643,85.0
30.401248278,86.0
30.409603912,85.0
30.417959547,79.0
30.426315181,80.0
30.434670816,77.0
30.443026450,77.0
